"","hh_size","n_children","region_type","hh_autos","n_emp","dist_to_transit","hh_income","trip_length_km","weight"
"5285",4,0,"urban",3,4,0.15,4711,2.85,0.189538181
"5286",4,0,"urban",3,4,0.15,4711,2.38,0.406053299
"5287",4,0,"urban",3,4,0.15,4711,3.8,0.322842368
"5288",4,3,"metropolitan",1,1,0.3,1945,9.5,0.661729245
"5289",2,0,"rural",2,1,1.5,2980,18.05,0.431569086
"5290",2,0,"urban",2,2,0.7,5059,0.48,0.95495736
"5291",2,0,"urban",2,2,0.7,5059,0.49,0.95495736
"5292",2,0,"urban",2,2,0.7,5059,10.45,0.946501492
"5293",2,0,"urban",2,2,0.7,5059,10.45,0.946501492
"5294",2,0,"urban",2,1,0.7,2025,26.6,0.497893216
"5295",4,0,"metropolitan",2,3,0.7,2657,14.25,0.592214199
"5296",4,2,"urban",2,2,0.7,3036,2.38,0.96954328
"5297",4,2,"urban",2,2,0.7,3036,2.85,0.700953387
"5298",4,2,"urban",1,2,0.7,2427,3.8,0.783890435
"5299",4,2,"urban",1,2,0.7,2427,3.8,0.783890435
"5300",4,1,"urban",2,2,0.7,3137,7.6,0.507022033
"5301",4,1,"urban",2,2,0.7,3137,7.6,0.841047925
"5302",4,1,"urban",2,2,0.7,3137,7.6,0.841047925
"5303",3,0,"urban",2,2,0.05,2041,5.7,0.816622031
"5304",3,0,"urban",2,2,0.05,2041,5.7,0.816622031
"5305",4,0,"urban",3,3,0.05,2878,4.75,0.616972555
"5306",4,0,"urban",3,3,0.05,2878,9.5,1.279807247
"5307",3,1,"urban",0,1,0.15,1019,13.54,1.531841411
"5308",4,0,"urban",4,2,0.05,2302,23.75,0.523127369
"5309",4,0,"urban",4,2,0.05,2302,24.7,0.78819425
"5310",4,2,"urban",2,1,0.3,2531,4.75,0.504879826
"5311",2,0,"rural",1,1,0.05,2627,23.75,0.484395152
"5312",2,0,"rural",1,1,0.05,3612,9.5,0.926237343
"5313",3,1,"urban",2,2,0.3,3417,5.7,1.31967444
"5314",3,1,"urban",2,2,0.7,2916,17.1,0.679297445
"5315",2,0,"metropolitan",1,1,0.15,4728,7.22,0.975227859
"5316",2,0,"urban",2,1,0.15,3031,18.05,0.981097808
"5317",3,0,"metropolitan",1,2,0.05,2869,27.08,1.993720076
"5318",4,2,"urban",2,2,0.3,5483,6.18,0.677868899
